,Time,Comparisons,Exchanges
Insertion,272791,8383,7860
Insertion,105042,8383,7472
Insertion,81958,8383,8646
Insertion,77542,8383,8572
Insertion,75333,8383,8302
Insertion,79042,8383,8010
Insertion,81209,8383,7984
Insertion,78792,8383,7530
Insertion,79375,8383,8182
Insertion,79583,8383,7948
Insertion,76708,8383,7896
Insertion,78792,8383,7886
Insertion,396833,8383,7106
Insertion,77667,8383,8096
Insertion,78959,8383,8256
Insertion,78875,8383,7948
Insertion,104959,8383,7812
Insertion,81500,8383,8174
Insertion,78500,8383,8510
Insertion,78708,8383,8236
Insertion,78833,8383,8190
Insertion,75292,8383,7456
Insertion,78667,8383,7234
Insertion,76750,8383,6932
Insertion,240000,8383,9016
Insertion,256791,8383,8096
Insertion,203375,8383,7570
Insertion,161458,8383,8166
Insertion,78541,8383,7832
Insertion,81041,8383,7824
Insertion,80958,8383,7770
Insertion,82667,8383,8344
Insertion,83708,8383,8854
Insertion,84459,8383,8164
Insertion,79625,8383,7870
Insertion,76833,8383,7826
Insertion,77625,8383,7506
Insertion,79375,8383,8214
Insertion,77791,8383,8146
Insertion,79584,8383,8600
Insertion,78833,8383,8642
Insertion,1061375,8383,7734
Insertion,206584,8383,8618
Insertion,306084,8383,8090
Insertion,234875,8383,8596
Insertion,192375,8383,8294
,,,
,,,
Quick,17334,2942,408
Quick,15458,3269,378
Quick,16291,2982,412
Quick,15166,3091,388
Quick,14291,2787,400
Quick,15167,3074,396
Quick,14000,2848,372
Quick,14791,2957,398
Quick,21917,3002,388
Quick,14625,3130,382
Quick,15167,2925,400
Quick,14292,2930,400
Quick,14625,2923,374
Quick,15542,3304,402
Quick,14666,2935,398
Quick,14125,2750,408
Quick,15417,3336,388
Quick,14458,2916,394
Quick,15291,2853,398
Quick,14375,2855,382
Quick,14625,3247,404
Quick,9125,3002,374
Quick,6750,3128,390
Quick,6625,3072,402
Quick,6417,3017,388
Quick,6292,2745,406
Quick,13250,2868,430
Quick,7292,3055,404
Quick,6292,2980,406
Quick,18542,3045,400
Quick,6667,3408,380
Quick,6291,2936,398
Quick,6333,3054,388
Quick,6416,2895,396
Quick,6708,2941,382
Quick,6292,2940,386
Quick,6250,3003,394
Quick,6500,3059,424
Quick,6416,3021,408
Quick,6250,2918,396
Quick,6500,3072,394
Quick,6208,2785,402
Quick,6584,3066,406
Quick,6083,2852,408
Quick,6208,3093,382
Quick,6334,3139,370
Quick,6416,2875,414
Quick,6458,2880,418
Quick,6291,2830,402
Quick,6333,2881,396
Quick,6500,2960,430
Quick,6459,3182,408
Quick,6541,3072,378
Quick,6416,3111,392
Quick,6166,2976,394
Quick,6209,3076,404
Quick,6333,3174,388
Quick,6208,3181,374
Quick,6333,3048,378
Quick,6334,3100,378
Quick,6459,3097,392
Quick,6083,2858,394
Quick,13333,2893,404
Quick,6833,3219,420
Quick,6542,3015,406
Quick,6750,3118,378
Quick,6167,3000,388
Quick,6125,3065,388
Quick,18500,3104,388
Quick,15250,2913,382
Quick,15042,2994,412
Quick,14666,2946,398
Quick,17333,2875,384
Quick,16292,3063,400
Quick,15083,3041,372
Quick,15000,3092,412
Quick,15583,3310,386
Quick,14500,2834,420
Quick,39334,2952,420
Quick,15416,3491,414
Quick,15000,2957,392
Quick,18042,3010,394
Quick,15459,3116,396
Quick,15166,3294,394
Quick,15250,3186,400
Quick,14375,2844,386
Quick,14625,3189,376
Quick,15042,3309,396
Quick,15000,3105,412
Quick,15084,2930,396
Quick,17042,2887,422
Quick,15417,3005,402
Quick,15542,3024,410
Quick,15292,3150,408
Quick,16916,3189,380
Quick,15000,3143,406
Quick,18333,3014,388
Quick,23166,3045,362
Quick,15833,3091,390
Quick,14792,2765,400
,,,
,,,
Merge,253417,4381,0
Merge,163667,4375,0
Merge,85750,4383,0
Merge,62917,4380,0
Merge,75750,4381,0
Merge,62500,4374,0
Merge,66959,4381,0
Merge,58333,4377,0
Merge,56917,4382,0
Merge,66459,4381,0
Merge,58250,4397,0
Merge,59041,4378,0
Merge,66666,4377,0
Merge,60083,4378,0
Merge,58500,4376,0
Merge,170542,4374,0
Merge,75583,4376,0
Merge,57083,4376,0
Merge,54917,4385,0
Merge,316458,4371,0
Merge,175750,4386,0
Merge,231292,4386,0
Merge,70750,4376,0
Merge,55459,4376,0
Merge,53666,4378,0
Merge,55958,4377,0
Merge,177584,4378,0
Merge,245709,4368,0
Merge,63791,4379,0
Merge,53208,4373,0
Merge,245000,4380,0
Merge,157167,4372,0
Merge,66042,4385,0
Merge,64375,4375,0
Merge,54291,4385,0
Merge,53791,4384,0
Merge,53666,4381,0
Merge,53208,4370,0
Merge,52541,4386,0
Merge,52083,4383,0
Merge,54083,4375,0
Merge,60375,4374,0
Merge,54125,4363,0
Merge,52250,4387,0
Merge,52667,4383,0
Merge,53334,4386,0
Merge,53959,4370,0
Merge,83542,4379,0
Merge,58250,4379,0
Merge,113041,4375,0
Merge,73959,4383,0
Merge,61334,4372,0
Merge,61708,4378,0
Merge,54042,4382,0
Merge,55583,4378,0
Merge,53750,4376,0
Merge,53917,4376,0
Merge,53458,4385,0
Merge,52917,4376,0
Merge,54958,4375,0
Merge,53666,4376,0
Merge,54583,4375,0
Merge,53958,4387,0
Merge,52709,4376,0
Merge,53542,4371,0
Merge,54208,4378,0
Merge,54875,4387,0
Merge,118750,4377,0
Merge,53583,4375,0
Merge,53833,4382,0
Merge,55625,4371,0
Merge,59708,4378,0
Merge,65250,4385,0
Merge,58042,4383,0
Merge,55500,4379,0
Merge,55583,4383,0
Merge,53125,4381,0
Merge,311250,4374,0
Merge,239125,4381,0
Merge,173208,4383,0
Merge,179042,4377,0
Merge,270292,4373,0
Merge,145708,4385,0
Merge,60625,4382,0
Merge,53834,4386,0
Merge,56000,4365,0
Merge,54250,4380,0
Merge,52583,4379,0
Merge,53125,4385,0
Merge,166041,4370,0
Merge,198583,4368,0
Merge,160083,4383,0
Merge,114000,4381,0
Merge,57958,4393,0
Merge,55625,4371,0
Merge,58166,4374,0
Merge,52625,4382,0
Merge,53834,4387,0
Merge,53417,4370,0
Merge,53458,4374,0
,,,
